time,lat,lon,alt,yaw,pitch,roll,vx,vy,vz,v_speed,yaw_rate,pitch_rate,roll_rate,pos,rpm,torque,temp,err,steering_vel,uncorrect_yaw,beta,yaw_term,steering_spd,steering_acel
0 days 00:09:18.700000,-1.755982641317014,1.358056175377366,-1.429003539804534,-0.8227048137876604,0.3577493043446434,-0.4560631897110604,0.6019510589494013,0.14803695201502592,0.06995371086856694,0.6054135007423554,-1.3408644321593877,-1.1941130490884817,-0.17982420343041727,-0.00115865822049795,0.4202275344608148,0.021324108421880986,0.09750068540040353,-0.21963609764594202,-0.14821122066513326,0.15578958673345775,-0.20110829861252807,-0.002574649083884559,0.42022753446081484,-0.5164466516921524
0 days 00:09:18.800000,-1.755982641317014,1.3564813114292422,-1.420181720944607,-0.8232664469990343,0.14277168036968102,-0.44650697057954414,0.6002710713401372,-0.46595736877382243,-1.0575040143967935,0.6043435101097091,-0.199488517735976,-1.3382156074050835,-0.027089975802703777,-0.0007331809111498199,0.276697721747153,0.34917193661094337,0.09750068540040353,-0.21963609764594202,-0.1333715529776773,0.1552392755028838,-0.251368698910541,-0.002094846412647168,0.27669772174715307,-0.2637174391619502
0 days 00:09:18.900000,-1.755982641317014,1.3548862951283365,-1.3981271737947898,-0.8241025261797622,-0.22002232824102363,-0.4602729604693853,0.6176309433025314,0.033463849092704924,-1.6442849866538585,0.6214881659909977,-1.9217195644414802,-0.846694040113304,-0.32661979766312854,-0.0004495293903698971,0.08532463812893733,-0.44702990178782215,0.09750068540040353,-0.21963609764594202,-0.08583750632166758,0.15442005086750651,-0.3635786419028781,-0.0030324792255352353,0.08532463812893734,-0.35162325221593355
0 days 00:09:19,-1.755982641317014,1.3533431708114876,-1.3883028753492108,-0.8255688434440324,-0.54109427381091,-0.6839047584115894,0.6392467838750612,0.7194335806917292,-1.7616411811052717,0.6435100156458767,-4.960378757217054,-0.6979653964574856,-0.3488896728943869,-0.00042589178712010837,-0.010361903680170521,-0.5594349035170553,0.09750068540040353,-0.21963609764594202,-0.05010452873139665,0.15298329313706843,0.5390901170963421,-0.005136365849920889,-0.010361903680170523,-0.17581162610796677
0 days 00:09:19.100000,-1.755982641317014,1.351780153770909,-1.38248849524624,-0.8261528231410514,-0.5326543075287098,-0.8451639765546122,0.6874064286739621,-0.36901089707032,-0.4916795054346238,0.69313715364304,-1.5406715248469876,1.8315780670262318,-0.07070181479725136,-0.0004731670217979316,-0.11800926321541685,-0.9341181607834481,0.09750068540040353,-0.21963609764594202,-0.002546927047311607,0.15241108590432553,0.21101154936541713,-0.0018991616447648404,-0.11800926321541687,-0.19778807937146262
0 days 00:09:19.200000,-1.755982641317014,1.3502123968519244,-1.3708597331730348,-0.8268093239651804,-0.39736209706079767,-0.8479255719542049,0.6954703691984292,-0.5482149811283092,-0.2150541899420074,0.701647052541468,0.5590711527328754,1.6238668352953998,-0.1686892658147881,-0.0004731670217979316,0.0015989140459679594,-1.3181685172359163,0.09750068540040353,-0.21963609764594202,-0.04898566489781862,0.1517678195000555,-0.696131470791311,-0.002109113438805867,0.0015989140459679596,0.21976453263495846
0 days 00:09:19.300000,-1.755982641317014,1.3486293768206463,-1.3668498166976903,-0.8276112488493477,-0.36518653305988397,-0.8517611091257055,0.6760945121049179,-0.3058488018695533,-0.7934525768811144,0.6815056266682,-0.5230699156282833,-0.25709946363012953,-0.17295765856744594,-0.0004495293903698971,0.055422593813591124,-0.16601746760564,0.09750068540040353,-0.21963609764594202,-0.07189292970107403,0.15098206064374714,-0.6554288846974881,-0.0026524523726054235,0.05542259381359113,0.09889403968573131
0 days 00:09:19.400000,-1.755982641317014,1.3470618790758078,-1.3608349391837782,-0.8283950840900434,-0.3673952960569151,-0.8739225941784083,0.6607506252736403,-0.4321729922710868,-0.8605132594247789,0.6660214030484469,-0.5027355654875099,-0.05517083857331852,-0.21174435792855423,-0.00035497889283600477,0.13914831789656049,0.4709441153388134,0.09750068540040353,-0.21963609764594202,-0.15181513996065826,0.15021402676124357,-0.6024377796974072,-0.0026528942278801725,0.1391483178965605,0.1538351728444709
0 days 00:09:19.500000,-1.755982641317014,1.3456440575650381,-1.3706592376293572,-0.829400642120246,-0.3103650903418739,-0.8934928110654752,0.6663505839711867,-0.2940977143903409,-0.42881011554993825,0.6715443558259997,-0.13760136513362214,0.6271767489611517,-0.224363953892934,-0.00016587789776822005,0.14512872675962973,1.1922094495801916,0.09750068540040353,-0.21963609764594202,-0.15181513996065826,0.14922873980561546,-0.5969263308604483,-0.003375326398060207,0.14512872675962976,0.010988226631747935
0 days 00:09:19.600000,-1.755982641317014,1.3440979326983966,-1.3668498166976903,-0.8303080516091407,-0.25743952476747733,-0.9139020937043293,0.6717265443208318,-0.10608031472294238,-0.24439323855486061,0.6768247619058602,-0.7255293148559838,0.951234026973285,-0.2787395659159231,-4.768976352287207e-05,0.09728545585507581,1.004867592989068,0.09750068540040353,-0.21963609764594202,-0.1659481568058544,0.1483396228118991,-0.3433652288361278,-0.003022111079555482,0.09728545585507582,-0.08790581305398339
0 days 00:09:19.700000,-1.755982641317014,1.3424823165231987,-1.3816865112042658,-0.831184233715931,-0.2379283774460921,-0.9326702999804598,0.6801264823671516,-0.2970354862601441,-0.5294011393654351,0.6856100039250382,-0.3497858883416925,-0.7132314780769008,-0.08981679103741479,0.00010595480377540482,0.049442184950521884,0.09626078793151983,0.09750068540040353,-0.21963609764594202,-0.16241490259455535,0.14748110368655196,-0.3410411048034938,-0.002880716950049805,0.04944218495052189,-0.08790581305398339
0 days 00:09:19.800000,-1.755982641317014,1.3413329021657132,-1.3791803131737674,-0.8318912041675114,-0.2608395904833248,-0.9574398713516585,0.675534516235163,-0.23607671996172971,-0.21295854361251784,0.6808515735506678,-0.4174197051142649,-0.5387124086549491,-0.11825727753066766,0.00011186421339355379,0.01954014063517568,-0.4048780787450352,0.09750068540040353,-0.21963609764594202,-0.15122626425877508,0.14678838507356845,-0.44878470348884997,-0.002340626763246532,0.019540140635175684,-0.054941133158739615
